PLAYER_NAME,PTS,REB,AST,MIN
LeBron James,25.7,7.3,8.3,35.3
Stephen Curry,26.4,4.5,5.1,32.7
Shai Gilgeous-Alexander,30.1,5.5,6.2,34.0
Giannis Antetokounmpo,30.4,11.5,6.5,35.2
Luka Doncic,33.9,9.2,9.8,37.5
Kevin Durant,27.1,6.6,5.0,37.2
Jayson Tatum,26.9,8.1,4.9,35.7
Chris Paul,9.2,3.9,6.8,26.4
